Geneid,chr,length,logFC,AveExpr,t,P.Value,adj.P.Val,B,FC
KRT13,chr17,2913,-4.87153893715416,2.31824487320624,-2.59842623351306,0.0192067513694542,0.999990905452192,-4.55972312028038,0.0341602196763347
SPRR1B,chr1,620,-4.68501870423723,1.1954024280892,-3.12299690180964,0.00644764141725015,0.999990905452192,-4.55309019050388,0.0388748601579389
AC079329.1,chr11,500,-4.57241895351711,-0.402712881584343,-4.4840520790215,0.000360795448389355,0.999990905452192,-4.54095236333265,0.0420305179807382
FP236383.3,chr21,923,-4.19546394683059,0.130907572618882,-2.26687121223408,0.0373522371048078,0.999990905452192,-4.57403949205728,0.0545807509067309
COL1A1,chr17,9819,-4.05520177772682,5.57776963616692,-2.82307792447082,0.0120889131705369,0.999990905452192,-4.52988500229778,0.0601537389035645
S100A7,chr1,536,-3.82160627873929,0.140738688532128,-2.51550959968263,0.0227344199083734,0.999990905452192,-4.56935086005869,0.070726453023004
KRT16,chr17,2475,-2.88015900870422,2.01406473361373,-2.49967964768559,0.0234744734101532,0.999990905452192,-4.56264484428025,0.135826886635513
FAM25A,chr10,345,-2.76496521637432,-0.108743745595508,-2.46680262189624,0.0250850803512931,0.999990905452192,-4.57101954182553,0.147116889123098
CHPF,chr2,3354,-2.73703896105735,0.50890293910155,-2.87400553432578,0.0108729473116868,0.999990905452192,-4.56133457789892,0.149992372085895
IVL,chr1,2153,-2.6664444358116,0.438685204116285,-2.81346253829064,0.0123328302338618,0.999990905452192,-4.56274344661364,0.157514392679013
IGFBP6,chr12,1346,-2.63896572585173,0.17639228639689,-2.61981534759597,0.0183852767411307,0.999990905452192,-4.56733160024583,0.16054329011001
C3AR1,chr12,2145,-2.63431713647308,0.987146187241661,-3.0106551144308,0.00816837203654345,0.999990905452192,-4.55645495473079,0.161061420034862
TRAPPC2L,chr16,4463,-2.62399240980045,0.980644998197623,-2.54805146162986,0.0212820922020406,0.999990905452192,-4.56585579061768,0.162218199315445
CEACAM5,chr19,3351,-2.60182956504738,6.06529688700178,-2.33778464627006,0.0324698650629196,0.999990905452192,-4.54386963480926,0.164729453379514
FADD,chr11,1841,-2.58619816347808,-0.137522694296377,-2.38615648760185,0.0294893463499273,0.999990905452192,-4.57256057688272,0.166523978422009
SAA1,chr11,796,-2.5700570564832,0.682105573259941,-2.31910382729566,0.0336946940607731,0.999990905452192,-4.57158248541659,0.168397537099705
