Geneid,chr,length,logFC,AveExpr,t,P.Value,adj.P.Val,B,FC
KRT13,chr17,2913,-4.87153893715416,2.31824487320624,-2.59842623351306,0.0192067513694542,0.999990905452192,-4.55972312028038,0.0341602196763347
SPRR1B,chr1,620,-4.68501870423723,1.1954024280892,-3.12299690180964,0.00644764141725015,0.999990905452192,-4.55309019050388,0.0388748601579389
AC079329.1,chr11,500,-4.57241895351711,-0.402712881584343,-4.4840520790215,0.000360795448389355,0.999990905452192,-4.54095236333265,0.0420305179807382
AC019349.1,chr17,476,-4.5133445891202,0.424848796139141,-2.11576068066525,0.050111598601558,0.999990905452192,-4.57618788624108,0.0437872729017285
FP236383.3,chr21,923,-4.19546394683059,0.130907572618882,-2.26687121223408,0.0373522371048078,0.999990905452192,-4.57403949205728,0.0545807509067309
COL1A1,chr17,9819,-4.05520177772682,5.57776963616692,-2.82307792447082,0.0120889131705369,0.999990905452192,-4.52988500229778,0.0601537389035645
KRT6A,chr12,2928,-3.84081999367984,2.89578593883973,-1.83761281456485,0.084437691669,0.999990905452192,-4.57657933200563,0.0697907674356916
S100A7,chr1,536,-3.82160627873929,0.140738688532128,-2.51550959968263,0.0227344199083734,0.999990905452192,-4.56935086005869,0.070726453023004
PIP,chr7,585,3.49687572396381,0.913281392214802,2.21308593151086,0.0415019113332123,0.999990905452192,-4.57306600514982,11.2892342328631
KRT14,chr17,2281,-3.3602026151477,2.76666521709739,-1.92167050224901,0.0723273768650828,0.999990905452192,-4.57453410873714,0.0973818949775169
SPRR3,chr1,1441,-3.26637765027033,0.761540258882736,-1.68456212364618,0.11114170487266,0.999990905452192,-4.58377975320281,0.103925554432472
FN1,chr2,17315,-2.97773907863994,5.71910510170826,-2.11136066384413,0.0505370980340416,0.999990905452192,-4.55575114042762,0.126943719180858
FTL,chr19,878,-2.95094758921793,3.66455927594683,-1.8481508820352,0.0828267602000792,0.999990905452192,-4.57333388436675,0.12932314570566
KRT16,chr17,2475,-2.88015900870422,2.01406473361373,-2.49967964768559,0.0234744734101532,0.999990905452192,-4.56264484428025,0.135826886635513
KRT6B,chr12,2282,-2.8008746421183,0.80256596706896,-1.95906634374142,0.0674576111927519,0.999990905452192,-4.57840398968175,0.143500270138476
TSPAN19,chr12,4085,2.77730045006456,1.09991257882252,1.71897654641919,0.104569475607676,0.999990905452192,-4.58262304662618,6.85568322744691
