Geneid	Length
DDX11L1	2541
WASH7P	15167
MIR6859-1	68
MIR1302-2HG	1556
MIR1302-2	138
FAM138A	1528
OR4G4P	840
OR4G11P	6519
OR4F5	6167
AL627309.1	44429
AL627309.3	1555
CICP27	3812
AL627309.6	755
AL627309.7	284
AL627309.2	550
AL627309.5	32389
RNU6-1100P	104
AL627309.4	1080
FO538757.2	1479
FO538757.1	10195
MIR6859-2	68
AP006222.1	101818
RPL23AP24	385
AL732372.1	7196
AL732372.2	157540
WBP1LP7	363
OR4F29	995
CICP7	2806
AL732372.3	2017
RF00026	2952
AL669831.3	241726
AC114498.1	7140
MTND1P23	372
MTND2P28	1044
MTCO1P12	1543
MIR6723	89
MTCO2P12	682
MTATP8P1	207
MTATP6P1	681
MTCO3P12	547
WBP1LP6	424
OR4F16	995
CICP3	2812
AL669831.1	52742
RNU6-1199P	104
AL669831.2	1079
AL669831.5	31291
AL669831.7	114
AL669831.4	16834
FAM87B	2467
LINC01128	34309
LINC00115	1317
FAM41C	8833
TUBB8P11	1058
AL669831.6	2706
AL645608.6	11143
AL645608.2	3514
AL645608.4	801
LINC02593	4152
SAMD11	20654
NOC2L	15106
KLHL17	5129
PLEKHN1	9369
PERM1	6890
AL645608.7	2086
HES4	1211
ISG15	13403
AL645608.3	154
AL645608.1	1197
AGRN	35996
AL645608.5	1084
AL390719.1	9622
AL645608.8	1081
RNF223	3342
C1orf159	34544
AL390719.3	7014
LINC01342	7040
MIR200B	95
MIR200A	90
MIR429	83
AL390719.2	987
TTLL10-AS1	6500
TTLL10	24052
TNFRSF18	3184
TNFRSF4	2813
SDF4	15124
B3GALT6	2816
C1QTNF12	4277
AL162741.1	1558
UBE2J2	19977
LINC01786	5198
SCNN1D	11594
ACAP3	17234
MIR6726	61
PUSL1	3111
INTS11	13107
MIR6727	65
AL139287.1	1109
CPTP	4142
TAS1R3	3993
DVL1	14075
MIR6808	59
MXRA8	9089
AURKAIP1	1766
NDUFB4P8	367
CCNL2	13618
AL391244.1	2525
MRPL20	5406
RN7SL657P	293
AL391244.3	1523
ANKRD65	3350
AL391244.2	2447
TMEM88B	1660
LINC01770	4035
VWA1	8022
ATAD3C	20470
ATAD3B	26080
AL645728.2	6203
ATAD3A	22537
TMEM240	5280
SSU72	33197
AL645728.1	2974
AL691432.3	400
FNDC10	2085
AL691432.2	2038
MIB2	15196
MMP23B	3169
CDK11B	23786
FO704657.1	3278
SLC35E2B	33200
AL691432.1	2408
MMP23A	1841
CDK11A	21595
AL031282.2	34953
AL031282.1	12740
SLC35E2A	21162
NADK	29226
GNB1	105833
AL109917.1	1188
CALML6	2470
TMEM52	1684
CFAP74	81887
AL391845.2	2318
GABRD	11461
AL391845.1	868
PRKCZ	134926
AL590822.2	4196
PRKCZ-AS1	2596
FAAP20	28260
AL590822.1	8216
SKI	81425
MORN1	70455
AL589739.1	493
AL513477.1	2407
AL513477.2	568
RER1	13670
PEX10	9834
PLCH2	79551
AL139246.1	959
AL139246.4	1043
PANK4	18096
HES5	1501
AL139246.5	17397
TNFRSF14-AS1	7112
TNFRSF14	9744
AL139246.2	3479
AL139246.3	2974
PRXL2B	4979
MMEL1	42352
AL831784.1	4053
TTC34	165742
AC242022.2	16643
AC242022.1	2871
AL592464.2	843
AL592464.1	567
AL589702.1	8050
ACTRT2	1421
LINC00982	8823
PRDM16	369454
MIR4251	61
AL008733.1	783
AL512383.1	2677
AL590438.1	3461
ARHGEF16	26688
AL512413.1	382
MEGF6	121576
MIR551A	96
AL513320.1	1554
TPRG1L	5126
WRAP73	21995
TP73	83682
AL136528.1	9835
AL136528.2	2099
TP73-AS1	11863
RF02197	161
CCDC27	25186
SMIM1	3222
LRRC47	17947
RN7SL574P	297
AL365330.1	531
CEP104	45134
DFFB	28163
C1orf174	11169
LINC01134	16854
LINC01346	14698
LINC01345	4434
AL805961.1	36567
AL805961.2	6588
EEF1DP6	372
LINC01777	12663
AL355602.1	5245
Z98747.1	411
LINC01646	22529
AJAP1	137803
BX005132.2	9345
BX005132.1	8188
AL691497.1	4441
AL139823.1	5467
Z98259.3	14322
Z98259.2	1242
Z98259.1	1697
Z97988.1	135
AL365255.1	106587
MIR4417	73
MIR4689	70
NPHP4	129663
KCNAB2	109728
CHD5	78331
AL031847.2	38328
RPL22	24370
AL031847.1	941
RNF207	15825
ICMT	14780
LINC00337	4753
HES3	1387
GPR153	13630
ACOT7	130123
AL031848.2	837
HES2	12253
ESPN	36592
MIR4252	63
AL031848.1	3973
TNFRSF25	5410
PLEKHG5	53970
NOL9	33189
RNU6-731P	111
AL591866.1	715
TAS1R1	24577
ZBTB48	9280
KLHL21	23884
PHF13	10349
THAP3	10721
DNAJC11	67757
LINC01672	5376
AL591163.1	2085
CAMTA1-DT	952
CAMTA1	984383
AL590128.1	286
AL512330.1	5904
RNU1-8P	165
CAMTA1-IT1	1329
Z97987.1	7268
AL365194.1	459
AL359881.3	1721
AL359881.2	570
AL359881.1	267
VAMP3	10164
Z98884.2	393
PER3	60858
Z98884.1	17101
UTS2	10430
TNFRSF9	27272
AL009183.1	355
PARK7	31215
RF00019	78876
AL034417.4	14179
AL034417.3	1748
ERRFI1	21905
AL034417.2	95965
AL034417.1	1219
AL358876.1	2947
LINC01714	12782
RNU1-7P	164
AL358876.2	2340
RNU6-991P	107
SLC45A1	26342
RERE	465247
AL096855.1	10194
RF00599	362
AL096855.2	369
RPL7P11	658
RPL7P7	703
AL357552.1	1032
AL357552.2	1192
RPL23AP19	369
ENO1	18251
MIR6728	89
ENO1-AS1	1060
RNU6-304P	107
HMGN2P17	743
AL139415.1	352
AL139415.2	163
CA6	29226
RN7SL451P	299
SLC2A7	23046
SLC2A5	53372
RF00424	909
GPR157	28866
MIR34AHG	50896
MIR34A	110
LNCTAM34A	14281
H6PD	36563
SPSB1	76653
BX323043.1	1765
AL928921.2	15471
RNA5SP40	110
AL928921.1	2380
SLC25A33	45698
AL954705.1	559
TMEM201	25952
PIK3CD	77383
PIK3CD-AS1	1977
AL691449.1	1799
PIK3CD-AS2	15130
CLSTN1	95501
MZT1P1	419
AL357140.3	1983
CTNNBIP1	62061
AL357140.1	1837
AL357140.5	7421
LZIC	21295
AL357140.2	7052
NMNAT1	42074
RN7SKP269	319
AL357140.4	10216
MIR5697	78
AL603962.1	1428
RBP7	18815
UBE4B	148408
AL590639.1	337
PGAM1P11	978
RNU6-828P	107
KIF1B	170799
MIR1273D	86
RNU6-37P	107
RN7SL731P	293
AL139424.3	5245
AL139424.2	2017
PGD	21553
AL139424.1	797
CENPS-CORT	22052
CENPS	12367
CORT	2184
DFFA	16005
AL354956.1	784
PEX14	158471
RN7SL614P	280
CASZ1	160047
AL139423.1	15093
HSPE1P24	238
C1orf127	35567
CFL1P6	820
TARDBP	14077
AL109811.4	17867
MASP2	20711
AL109811.3	870
SRM	5441
EXOSC10	33264
AL109811.1	4627
AL109811.2	2426
MTOR	155973
MTOR-AS1	5640
RNU6-537P	103
ANGPTL7	6641
RNU6-291P	107
RPL39P6	150
UBIAD1	22844
UBE2V2P3	736
AL031291.1	7360
MTCYBP45	565
DISP3	58419
AL590989.1	1214
LINC01647	3825
AL031731.1	19859
FBXO2	18768
FBXO44	8953
FBXO6	10231
MAD2L2	17171
DRAXIN	34129
AGTRAP	18719
C1orf167	27799
AL953897.1	2543
MTHFR	21198
CLCN6	41984
RF02156	173
RF02157	149
NPPA	2637
RF02158	108
NPPB	1468
AL021155.1	2637
AL021155.2	5086
RNU5E-1	120
RNU5E-4P	120
KIAA2013	6838
PLOD1	41334
MFN2	33334
AL096840.1	93
MIIP	12580
MIR6729	65
RN7SL649P	275
TNFRSF8	80831
RNU6-777P	104
RPL23AP89	255
AL357835.1	3824
MIR7846	96
TNFRSF1B	42226
MIR4632	61
RPL10P17	316
RF00156	3338
VPS13D	282018
SNORA59A	152
AC243836.1	697
DHRS3	49822
RNU6ATAC18P	101
MIR6730	67
AC254633.1	345
AADACL4	22540
AC244670.1	112
AADACL3	12645
C1orf158	17485
PRAMEF12	3066
PRAMEF1	5232
LINC01784	474
PRAMEF11	6806
PRAMEF30P	3233
HNRNPCL1	1318
PRAMEF2	4824
PRAMEF4	6978
PRAMEF10	5375
PRAMEF7	3873
RNU6-1072P	107
PRAMEF29P	2092
PRAMEF6	9109
PRAMEF28P	2792
PRAMEF27	7016
HNRNPCL3	1361
PRAMEF25	9208
PRAMEF34P	2793
PRAMEF35P	1287
HNRNPCL2	1359
PRAMEF36P	2798
AC245056.1	480
PRAMEF26	7057
HNRNPCL4	882
PRAMEF9	7010
PRAMEF13	5080
PRAMEF18	3402
PRAMEF31P	2790
PRAMEF5	9103
PRAMEF32P	2089
RNU6-771P	107
PRAMEF8	4140
PRAMEF33	5369
PRAMEF15	7018
AC243961.1	480
PRAMEF14	5101
PRAMEF19	2834
PRAMEF17	2998
PRAMEF20	10879
LRRC38	39072
AL354712.1	3051
