Geneid,chr,length,logFC,AveExpr,t,P.Value,adj.P.Val,B,FC
AP003396.5,chr11,632,-5.62132974210369,-0.563337437960764,-2.97488158554913,0.00956294829160397,0.999923018896758,-4.58378933680239,0.0203147336275153
POU4F3,chr5,2569,-5.01617668497089,-1.52124231320072,-3.59693661275041,0.0026965888498058,0.999923018896758,-4.58106916677497,0.0309015564320377
AC008080.2,chr7,577,-4.8174354090809,-1.37154768312189,-2.41702492026797,0.0290561782938684,0.999923018896758,-4.58740746283001,0.0354656104640867
AC134775.1,chr11,464,-4.73396105823494,-1.18496716499644,-2.47691799784717,0.0258448504408066,0.999923018896758,-4.58698829821046,0.0375781783386473
CD7,chr17,2735,-4.69645176927212,-1.92191276218349,-2.63789342100349,0.0188075449486488,0.999923018896758,-4.58632800316681,0.0385680022898625
KLK7,chr19,2434,-4.66286813675622,2.96856473721846,-2.34780358829156,0.0332387463552125,0.999923018896758,-4.58146890006808,0.0394763349298976
AL133444.1,chr14,1001,-4.66097573669735,-1.21204011947544,-3.18528567777412,0.00623925754443574,0.999923018896758,-4.58290995937412,0.0395281504789792
AC009121.1,chr16,1095,-4.62789216956922,-2.10694608578224,-3.35489974641834,0.0044165399492213,0.999923018896758,-4.58260405624184,0.0404450745499053
SP8,chr7,3718,-4.52341271348986,-1.52284953234259,-3.30374883732937,0.00490186255396319,0.999923018896758,-4.5825945286503,0.0434827588006728
COL1A1,chr17,9819,-4.42195747033395,5.87254964640942,-2.23337196221516,0.0414199804283082,0.999923018896758,-4.57320739186106,0.046650699688576
S100A7,chr1,536,-4.31398081694764,0.49964061214197,-1.93835715162366,0.071913880617474,0.999923018896758,-4.58888945049024,0.0502761916857904
AC109780.1,chr3,1344,-4.24353122630823,-2.32303973943093,-3.51224165065589,0.00320455354660098,0.999923018896758,-4.58199515756485,0.0527922064048431
FAM25A,chr10,345,-4.23902346038411,-0.430410441853717,-3.0067736157674,0.00896506791499865,0.999923018896758,-4.58245389847657,0.0529574160101576
CLDN19,chr1,3602,-4.23160158315127,-1.35652894224197,-3.19671777733367,0.00609578855415911,0.999923018896758,-4.58293923129373,0.0532305549353925
AL354919.2,chr1,537,-4.16053180623381,-1.50133658572268,-2.44685708944045,0.0274119525074059,0.999923018896758,-4.5872095381776,0.0559184504746697
KRT16,chr17,2475,-4.14461300357052,1.93044567055435,-2.19584531563068,0.0444895559829016,0.999923018896758,-4.58465959212372,0.0565388753615896
SPRR1B,chr1,620,-4.11897435709454,1.8948258292375,-2.37720386306781,0.0313971192797379,0.999923018896758,-4.58300836554139,0.0575526290243565
CST6,chr11,759,-4.09282208479432,-1.9276549091865,-2.74266036787573,0.0152615738537898,0.999923018896758,-4.5858090986132,0.058605420386796
AC135012.3,chr16,4039,-4.01585664462324,-1.4585921573633,-2.41811861264786,0.0289942797406839,0.999923018896758,-4.58731160171215,0.0618168244824151
AC003043.1,chr17,337,-3.99749011509106,0.320435417471518,-2.27405881431357,0.0383159865875288,0.999923018896758,-4.58616511543418,0.062608827114897
C1QL1,chr17,1295,-3.99597154194961,-0.454302965485162,-3.01051986747428,0.00889729552580409,0.999923018896758,-4.58229995075349,0.0626747635300297
