Geneid,chr,length
DDX11L1,chr1,1735
WASH7P,chr1,1351
MIR6859-1,chr1,68
MIR1302-2HG,chr1,1021
MIR1302-2,chr1,138
FAM138A,chr1,1219
OR4G4P,chr1,840
OR4G11P,chr1,1414
OR4F5,chr1,2618
AL627309.1,chr1,3726
AL627309.3,chr1,1319
CICP27,chr1,3812
AL627309.6,chr1,755
AL627309.7,chr1,284
AL627309.2,chr1,323
AL627309.5,chr1,6195
RNU6-1100P,chr1,104
AL627309.4,chr1,457
FO538757.2,chr1,570
FO538757.1,chr1,1397
MIR6859-2,chr1,68
AP006222.1,chr1,8224
RPL23AP24,chr1,385
AL732372.1,chr1,1095
AL732372.2,chr1,6204
WBP1LP7,chr1,363
OR4F29,chr1,995
CICP7,chr1,2477
AL732372.3,chr1,1239
RF00026,chr1,2952
AL669831.3,chr1,5495
AC114498.1,chr1,635
MTND1P23,chr1,372
MTND2P28,chr1,1044
MTCO1P12,chr1,1543
MIR6723,chr1,89
MTCO2P12,chr1,682
MTATP8P1,chr1,207
MTATP6P1,chr1,681
MTCO3P12,chr1,547
WBP1LP6,chr1,424
OR4F16,chr1,995
CICP3,chr1,2455
AL669831.1,chr1,6432
RNU6-1199P,chr1,104
AL669831.2,chr1,456
AL669831.5,chr1,5517
AL669831.7,chr1,114
AL669831.4,chr1,872
FAM87B,chr1,1947
LINC01128,chr1,9470
LINC00115,chr1,1317
FAM41C,chr1,1971
TUBB8P11,chr1,1058
AL669831.6,chr1,837
AL645608.6,chr1,351
AL645608.2,chr1,3043
AL645608.4,chr1,443
LINC02593,chr1,4152
SAMD11,chr1,4166
NOC2L,chr1,5539
KLHL17,chr1,3395
PLEKHN1,chr1,2833
PERM1,chr1,3424
AL645608.7,chr1,2086
HES4,chr1,1118
ISG15,chr1,941
AL645608.3,chr1,154
AL645608.1,chr1,471
AGRN,chr1,10758
AL645608.5,chr1,402
AL390719.1,chr1,2171
AL645608.8,chr1,829
RNF223,chr1,1902
C1orf159,chr1,6322
AL390719.3,chr1,1095
LINC01342,chr1,1620
MIR200B,chr1,95
MIR200A,chr1,90
MIR429,chr1,83
AL390719.2,chr1,987
TTLL10-AS1,chr1,3532
TTLL10,chr1,3943
TNFRSF18,chr1,1370
TNFRSF4,chr1,1721
SDF4,chr1,4709
B3GALT6,chr1,2816
C1QTNF12,chr1,1794
AL162741.1,chr1,1558
UBE2J2,chr1,4712
LINC01786,chr1,513
SCNN1D,chr1,4025
ACAP3,chr1,8809
MIR6726,chr1,61
PUSL1,chr1,2489
INTS11,chr1,8220
MIR6727,chr1,65
AL139287.1,chr1,386
CPTP,chr1,2556
TAS1R3,chr1,3433
DVL1,chr1,3814
MIR6808,chr1,59
MXRA8,chr1,3622
AURKAIP1,chr1,1669
NDUFB4P8,chr1,367
CCNL2,chr1,6850
AL391244.1,chr1,2525
MRPL20,chr1,2788
RN7SL657P,chr1,293
AL391244.3,chr1,1523
ANKRD65,chr1,2644
AL391244.2,chr1,543
TMEM88B,chr1,492
LINC01770,chr1,851
VWA1,chr1,5065
ATAD3C,chr1,3976
ATAD3B,chr1,7682
AL645728.2,chr1,660
ATAD3A,chr1,3069
TMEM240,chr1,1380
SSU72,chr1,6925
AL645728.1,chr1,2349
AL691432.3,chr1,400
FNDC10,chr1,2085
AL691432.2,chr1,2038
MIB2,chr1,8767
MMP23B,chr1,2273
CDK11B,chr1,3488
FO704657.1,chr1,400
SLC35E2B,chr1,8395
AL691432.1,chr1,1819
MMP23A,chr1,1017
CDK11A,chr1,4701
AL031282.2,chr1,5079
AL031282.1,chr1,2759
SLC35E2A,chr1,7713
NADK,chr1,5570
GNB1,chr1,6417
AL109917.1,chr1,906
CALML6,chr1,2321
TMEM52,chr1,1594
CFAP74,chr1,10422
AL391845.2,chr1,1954
GABRD,chr1,5556
AL391845.1,chr1,538
PRKCZ,chr1,7636
AL590822.2,chr1,4196
PRKCZ-AS1,chr1,1734
FAAP20,chr1,10916
AL590822.1,chr1,326
SKI,chr1,6080
MORN1,chr1,11337
AL589739.1,chr1,493
AL513477.1,chr1,2407
AL513477.2,chr1,568
RER1,chr1,5691
PEX10,chr1,3789
PLCH2,chr1,10781
AL139246.1,chr1,455
AL139246.4,chr1,514
PANK4,chr1,5107
HES5,chr1,1306
AL139246.5,chr1,1531
TNFRSF14-AS1,chr1,6137
TNFRSF14,chr1,6219
AL139246.2,chr1,1297
AL139246.3,chr1,626
PRXL2B,chr1,3371
MMEL1,chr1,3844
AL831784.1,chr1,373
TTC34,chr1,8814
AC242022.2,chr1,593
AC242022.1,chr1,1565
AL592464.2,chr1,607
AL592464.1,chr1,429
AL589702.1,chr1,1654
ACTRT2,chr1,1421
LINC00982,chr1,5600
PRDM16,chr1,9767
MIR4251,chr1,61
AL008733.1,chr1,469
AL512383.1,chr1,2677
AL590438.1,chr1,3461
ARHGEF16,chr1,5563
AL512413.1,chr1,382
MEGF6,chr1,7039
MIR551A,chr1,96
AL513320.1,chr1,622
TPRG1L,chr1,2414
WRAP73,chr1,7604
TP73,chr1,6763
AL136528.1,chr1,754
